state	white	black	native	asian	pacisland	id
Alabama	3420293	1288535	62929	68357	7984	1
Alaska	527709	34167	139762	50943	11360	2
Arizona	5554869	338629	394196	241989	28431	4
Arkansas	2388119	472418	52463	46059	8597	5
California	28760914	2856255	1026741	5707070	320036	6
Colorado	4571659	261500	132810	190738	16823	8
Connecticut	3012178	433855	37794	160290	6864	9
Delaware	662573	209669	11759	34074	1423	10
DistrictofColumbia	262139	319177	8084	27369	1514	11
Florida	15092550	3260198	180473	583371	43416	12
Georgia	6284970	3091686	103154	370850	18587	13
Hawaii	576038	39824	34923	785488	358951	15
Idaho	1506582	17156	41669	30625	5508	16
Illinois	10221120	2006809	135378	677988	15873	17
Indiana	5739702	665502	57401	128724	7392	18
Iowa	2881962	115377	27453	65154	4173	19
Kansas	2568818	207055	65091	85333	5445	20
Kentucky	3927218	380726	33997	62861	5698	21
Louisiana	2954363	1495121	58128	85574	5333	22
Maine	1288646	22100	18718	18445	1008	23
Maryland	3656506	1812530	70680	374792	11553	24
Massachusetts	5634710	569701	62885	401116	12369	25
Michigan	8135487	1518483	147217	291771	10010	26
Minnesota	4726219	333992	108857	249091	6819	27
Mississippi	1814734	1120145	28077	33135	3228	28
Missouri	5142149	753173	76710	124855	12136	29
Montana	913642	8117	79572	10604	1794	30
Nebraska	1678923	101658	35458	41512	3551	31
Nevada	2188780	265934	69150	250269	35435	32
NewHampshire	1266371	23022	11014	34804	1236	33
NewJersey	6680647	1371875	92650	805067	15777	34
NewMexico	1762468	62526	234690	43068	5750	35
NewYork	14231329	3625642	304046	1619081	45801	36
NorthCarolina	7048462	2188987	213168	258205	17891	37
NorthDakota	619344	11282	43371	9281	801	38
Ohio	9861453	1558274	95809	240440	11380	39
Oklahoma	3041618	333954	499270	85943	9052	40
Oregon	3522376	104181	126075	190238	26936	41
Pennsylvania	10843493	1559303	96666	408061	14662	42
RhodeIsland	931269	90326	17476	37799	2803	44
SouthCarolina	3224230	1342663	48120	77232	6988	45
SouthDakota	721477	15011	83023	10323	1040	46
Tennessee	5144638	1117173	62526	115280	9359	47
Texas	20749373	3240981	398481	1134631	54801	48
Utah	2601525	47856	59338	80037	37994	49
Vermont	608449	9525	7503	10530	476	50
Virginia	5899452	1677787	94249	527994	17233	51
Washington	5787229	337360	223031	613537	73213	53
WestVirginia	1770971	77549	13571	16556	1295	54
Wisconsin	5119344	410758	93108	153050	5558	55
Wyoming	538440	7646	19768	6903	1137	56