State,Unknown,Asian,Black,Hispanic,Native,Other,White,Total,Asian Population,Black Population,Hispanic Population,Native American Population,White Population,Total Population,id
Alaska,4,1,3,0,9,0,15,32,48569,21192,51712,105146,448081,4874747,2
Alabama,9,0,26,1,0,0,52,88,65494,1302295,201970,22209,3191450,739795,1
Arkansas,14,1,19,0,0,0,36,70,46583,455500,223764,16901,2173307,3004279,5
Arizona,29,0,14,75,11,0,96,225,225810,290379,2202173,274496,3836639,7016270,4
California,85,24,110,283,4,9,191,706,2679986,2164239,15477306,147880,14616636,39536653,6
Colorado,24,5,14,42,4,1,69,159,176176,219500,1206724,32102,3822055,5607154,8
Connecticut,3,0,2,4,0,0,9,18,162564,354320,578833,7486,2393694,3588184,9
District Of Colombia,0,0,12,0,0,0,1,13,28056,314705,76526,1574,253416,693972,11
Delaware,2,0,4,0,0,0,5,11,38404,206690,89540,2344,597917,961939,10
Florida,17,1,89,43,0,3,130,283,578136,3224452,5370860,42654,11288419,20984400,12
Georgia,23,3,57,8,0,0,63,154,408067,3245371,1001472,18335,5487048,10429379,13
Hawaii,1,8,1,1,0,12,3,26,532881,22629,150125,1659,310584,1427538,15
Iowa,1,0,6,0,0,0,22,29,80937,103989,185746,7825,2701250,3145711,19
Idaho,6,0,1,4,1,0,26,38,22698,10947,213619,19136,213619,1716943,16
Illinois,3,0,53,12,0,0,28,96,689701,1790512,2206927,12784,7834272,12802023,17
Indiana,6,0,24,4,0,0,48,82,146611,613080,461618,9694,5278785,6666818,18
Kansas,3,0,6,7,1,0,28,45,85386,161148,345510,17617,2210739,2913123,20
Kentucky,6,1,11,3,1,0,59,81,64381,355829,155163,6882,3769995,4454189,21
Louisiana,7,2,54,1,0,0,34,98,83959,1505991,243620,21942,2739086,4684333,22
Massachusetts,1,0,8,7,0,1,14,31,450311,477846,811292,9439,4906564,6859819,25
Maryland,3,0,41,3,0,0,20,67,389297,1776692,612709,11879,3066146,6052177,24
Maine,1,0,1,0,0,1,14,17,15141,15761,21899,8225,1247090,1335907,23
Michigan,10,1,23,2,1,0,36,73,306376,1359264,504398,45421,7476534,9962311,26
Minnesota,2,2,9,3,4,3,34,57,272228,356949,296666,53674,4455056,5576606,27
Missouri,13,1,43,3,0,0,57,117,123227,694270,255803,21332,4854821,6113532,29
Mississippi,4,1,20,1,0,0,31,57,27267,1130323,86035,13240,1688447,2984100,28
Montana,2,0,0,0,4,0,18,24,7182,4380,38933,62126,906221,1050493,30
North Carolina,10,1,40,8,0,0,71,130,293050,2175617,962466,111317,6472902,10273419,37
North Dakota,0,0,0,0,4,0,5,9,12699,22830,26479,40745,637291,755393,38
Nebraska,1,0,4,2,1,0,13,21,46837,87147,209917,12823,1517634,1920076,31
New Hampshire,1,0,0,0,0,0,11,12,35602,18023,50393,1500,1212790,1342795,33
New Jersey,7,1,25,9,0,0,18,60,882064,1148321,1840433,9074,4939479,9005644,34
New Mexico,9,0,1,56,2,0,25,93,27514,38022,1018344,182991,780688,2088070,35
Nevada,9,2,11,24,1,0,32,79,249834,265472,864663,27991,1462301,2998039,32
New York,11,1,34,8,0,0,28,82,1718948,2846481,3811654,41752,10936578,19849399,36
Ohio,6,2,48,1,0,2,76,135,256437,1421030,436762,17866,9204374,11658609,39
Oklahoma,16,3,27,7,6,0,82,141,84404,283068,417708,288580,2576937,3930864,40
Oregon,9,0,7,4,0,0,54,74,180042,74345,540924,38855,3132752,4142776,41
Pennsylvania,11,0,37,6,0,0,41,95,442425,1367815,938428,14498,9780941,12805537,42
Rhode Island,0,0,2,1,0,0,1,4,37798,57196,163346,3134,763670,1059639,44
South Carolina,5,1,21,2,0,0,44,73,74889,1344741,285990,12370,3197812,5024369,45
South Dakota,2,1,0,0,3,0,9,15,10612,16345,31278,74563,715927,869666,46
Tennessee,15,1,26,3,0,1,75,121,118312,1115187,361203,13699,4962226,6715984,47
Texas,62,3,78,121,1,3,149,417,1344963,3330204,11158751,71859,11855092,28304596,48
Utah,4,0,5,10,2,1,29,51,74530,35689,434290,30073,2428495,3101833,49
Virginia,4,1,36,4,0,0,40,85,539382,1595039,790662,20568,5226540,8470020,51
Vermont,2,0,0,0,1,0,6,9,11073,7731,11932,1971,578706,623657,50
Washington,22,7,16,18,7,2,55,127,625939,262211,940792,75535,5077103,7405743,53
Wisconsin,4,1,16,3,4,0,46,74,158583,362314,397847,44664,4706315,5795483,55
West Virginia,11,1,7,0,0,0,32,51,13695,71358,22807,2391,1670509,1815857,54
Wyoming,1,0,0,2,1,0,9,13,4586,5154,58122,12341,486586,579315,56